INSTANCE_ID,MINISAT,CRYPTOMINISAT,SPEAR
/ubc/cs/project/arrow/projects/Sat_Data/bench/SAT_Competition2002/sat-2002-beta/submitted/aloul/Bart/bart10.shuffled.cnf,0.0,0.0,0.0
/ubc/cs/project/arrow/projects/Sat_Data/bench/SAT_Competition2002/sat-2002-beta/submitted/aloul/Bart/bart19.shuffled.cnf,0.0,0.01,0.0
/ubc/cs/project/arrow/projects/Sat_Data/bench/SAT_Competition2002/sat-2002-beta/submitted/aloul/Bart/bart20.shuffled.cnf,0.0,0.07,0.0
/ubc/cs/project/arrow/projects/Sat_Data/bench/SAT_Competition2002/sat-2002-beta/submitted/aloul/Bart/bart21.shuffled.cnf,0.0,0.0,12.45
/ubc/cs/project/arrow/projects/Sat_Data/bench/SAT_Competition2002/sat-2002-beta/submitted/aloul/Bart/bart22.shuffled.cnf,0.0,0.01,0.0
/ubc/cs/project/arrow/projects/Sat_Data/bench/SAT_Competition2002/sat-2002-beta/submitted/aloul/Bart/bart23.shuffled.cnf,0.0,0.01,0.01
/ubc/cs/project/arrow/projects/Sat_Data/bench/SAT_Competition2002/sat-2002-beta/submitted/aloul/Bart/bart24.shuffled.cnf,0.0,0.01,0.0
/ubc/cs/project/arrow/projects/Sat_Data/bench/SAT_Competition2002/sat-2002-beta/submitted/aloul/Bart/bart25.shuffled.cnf,0.0,0.02,0.0
/ubc/cs/project/arrow/projects/Sat_Data/bench/SAT_Competition2002/sat-2002-beta/submitted/aloul/Bart/bart26.shuffled.cnf,0.0,0.02,0.0
/ubc/cs/project/arrow/projects/Sat_Data/bench/SAT_Competition2002/sat-2002-beta/submitted/aloul/Bart/bart27.shuffled.cnf,0.01,0.02,3600.0
/ubc/cs/project/arrow/projects/Sat_Data/bench/SAT_Competition2002/sat-2002-beta/submitted/aloul/Bart/bart28.shuffled.cnf,0.0,0.01,0.0
/ubc/cs/project/arrow/projects/Sat_Data/bench/SAT_Competition2002/sat-2002-beta/submitted/aloul/Bart/bart11.shuffled.cnf,0.0,0.0,0.0
/ubc/cs/project/arrow/projects/Sat_Data/bench/SAT_Competition2002/sat-2002-beta/submitted/aloul/Bart/bart29.shuffled.cnf,0.01,0.02,3600.0
/ubc/cs/project/arrow/projects/Sat_Data/bench/SAT_Competition2002/sat-2002-beta/submitted/aloul/Bart/bart30.shuffled.cnf,0.01,0.01,3600.0
/ubc/cs/project/arrow/projects/Sat_Data/bench/SAT_Competition2002/sat-2002-beta/submitted/aloul/Bart/bart12.shuffled.cnf,0.0,0.01,0.0
/ubc/cs/project/arrow/projects/Sat_Data/bench/SAT_Competition2002/sat-2002-beta/submitted/aloul/Bart/bart13.shuffled.cnf,0.0,0.0,0.0
/ubc/cs/project/arrow/projects/Sat_Data/bench/SAT_Competition2002/sat-2002-beta/submitted/aloul/Bart/bart14.shuffled.cnf,0.0,0.0,0.05
/ubc/cs/project/arrow/projects/Sat_Data/bench/SAT_Competition2002/sat-2002-beta/submitted/aloul/Bart/bart15.shuffled.cnf,0.0,0.01,0.0
/ubc/cs/project/arrow/projects/Sat_Data/bench/SAT_Competition2002/sat-2002-beta/submitted/aloul/Bart/bart16.shuffled.cnf,0.0,0.0,0.0
/ubc/cs/project/arrow/projects/Sat_Data/bench/SAT_Competition2002/sat-2002-beta/submitted/aloul/Bart/bart17.shuffled.cnf,0.0,0.0,0.0
/ubc/cs/project/arrow/projects/Sat_Data/bench/SAT_Competition2002/sat-2002-beta/submitted/aloul/Bart/bart18.shuffled.cnf,0.0,0.0,0.0
/ubc/cs/project/arrow/projects/Sat_Data/bench/SAT_Competition2002/sat-2002-beta/submitted/aloul/Homer/homer06.shuffled.cnf,6.53,3600.0,7.93
/ubc/cs/project/arrow/projects/Sat_Data/bench/SAT_Competition2002/sat-2002-beta/submitted/aloul/Homer/homer15.shuffled.cnf,3314.31,3600.0,3600.0
/ubc/cs/project/arrow/projects/Sat_Data/bench/SAT_Competition2002/sat-2002-beta/submitted/aloul/Homer/homer16.shuffled.cnf,3600.0,3600.0,1223.28
/ubc/cs/project/arrow/projects/Sat_Data/bench/SAT_Competition2002/sat-2002-beta/submitted/aloul/Homer/homer17.shuffled.cnf,3600.0,3600.0,3600.0
/ubc/cs/project/arrow/projects/Sat_Data/bench/SAT_Competition2002/sat-2002-beta/submitted/aloul/Homer/homer18.shuffled.cnf,3600.0,3600.0,3600.0
/ubc/cs/project/arrow/projects/Sat_Data/bench/SAT_Competition2002/sat-2002-beta/submitted/aloul/Homer/homer19.shuffled.cnf,3600.0,3600.0,3600.0
/ubc/cs/project/arrow/projects/Sat_Data/bench/SAT_Competition2002/sat-2002-beta/submitted/aloul/Homer/homer20.shuffled.cnf,3600.0,3600.0,3600.0
/ubc/cs/project/arrow/projects/Sat_Data/bench/SAT_Competition2002/sat-2002-beta/submitted/aloul/Homer/homer07.shuffled.cnf,28.29,3600.0,23.29
